03-02 00:56:58.441 17121 17305 I TestRunner: started: homeScreen_no_tabs_rendered_when_sections_are_empty(com.podcast.app.ui.HomeScreenTest)
03-02 00:56:58.441  3202  3202 I HoneySpace.TaskStackChangeRepositoryImpl: onTaskRemoved : 44842
03-02 00:56:58.441  3202  3202 I HoneySpace.TaskListViewModel[160530624]: taskRemoveId, 44842
03-02 00:56:58.441  3202  3386 I HoneySpace.TopTaskSource: onTaskRemoved: 44842
03-02 00:56:58.441  3202  3202 W HoneySpace.TaskListViewModel[160530624]: task is already removed: 44842
03-02 00:56:58.442  3202  3202 I HoneySpace.TaskStackChangeRepositoryImpl: onTaskRemoved : 44842
03-02 00:56:58.443  3202  4699 I HoneySpace.RecentTasks: onRunningTaskVanished
03-02 00:56:58.443  3202  4699 I HoneySpace.RecentTasks: onRecentTasksChanged
03-02 00:56:58.444  3202  3202 I HoneySpace.TaskListViewModel[160530624]: taskRemoveId, 44842
03-02 00:56:58.445  3202  3202 W HoneySpace.TaskListViewModel[160530624]: task is already removed: 44842
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{com.podcast.app.debug/androidx.activity.ComponentActivity$_17121#155343} no children}] reparent to OffscreenRoot
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{com.podcast.app.debug/androidx.activity.ComponentActivity$_17121#155343} no children}] RelativeParent to null
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{3696895 com.podcast.app.debug/androidx.activity.ComponentActivity#155342} no children}] reparent to OffscreenRoot
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{3696895 com.podcast.app.debug/androidx.activity.ComponentActivity#155342} no children}] RelativeParent to null
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{ActivityRecord{143907430 u0 com.podcast.app.debug/androidx.activity.ComponentActivity t44842}#155339} 1 children}] reparent to OffscreenRoot
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{ActivityRecord{143907430 u0 com.podcast.app.debug/androidx.activity.ComponentActivity t44842}#155339} 1 children}] RelativeParent to null
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{Task=44842#155338 z=40} no children}] reparent to OffscreenRoot
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{Task=44842#155338 z=40} no children}] RelativeParent to null
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{Task=44842#155382 z=40} no children}] reparent to OffscreenRoot
03-02 00:56:58.445  1507  1507 I SurfaceFlinger: [LayerHierarchy{RequestedLayerState{Task=44842#155382 z=40} no children}] RelativeParent to null
03-02 00:56:58.445  3202  3386 I HoneySpace.TopTaskSource: onTaskRemoved: 44842
03-02 00:56:58.446  1507  1507 I SurfaceFlinger: onHandleDestroyed: layerId=155382, name=Task=44842#155382
03-02 00:56:58.447  1507  1507 I SurfaceFlinger: id=155382 Removed Task=44842#155382 (339)
03-02 00:56:58.447  1507  1507 I SurfaceFlinger: onHandleDestroyed: layerId=155339, name=ActivityRecord{143907430 u0 com.podcast.app.debug/androidx.activity.ComponentActivity t44842}#155339
03-02 00:56:58.447  1507  1507 I SurfaceFlinger: id=155339 Removed ActivityRecord{143907430 u0 com.podcast.app.debug/androidx.activity.ComponentActivity t44842}#155339 (339)
03-02 00:56:58.447  1507  1507 I SurfaceFlinger: onHandleDestroyed: layerId=155342, name=3696895 com.podcast.app.debug/androidx.activity.ComponentActivity#155342
03-02 00:56:58.447  1507  1507 I SurfaceFlinger: id=155342 Removed 3696895 com.podcast.app.debug/androidx.activity.ComponentActivity#155342 (339)
03-02 00:56:58.447  1507  1507 I SurfaceFlinger: onHandleDestroyed: layerId=155343, name=com.podcast.app.debug/androidx.activity.ComponentActivity$_17121#155343
03-02 00:56:58.447  1507  1507 I SurfaceFlinger: id=155343 Removed com.podcast.app.debug/androidx.activity.ComponentActivity$_17121#155343 (339)
03-02 00:56:58.448  1444  1809 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.448  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.448  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.449  1444  1809 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.449  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.449  1444  1808 D MDP     : [PQSessionManager] createPQSession(a) user(0xb4000074f4d46d80)
03-02 00:56:58.449  1444  1808 D MDP     : [PQSessionManager] Duplicated ID[a] found, please check if double createPQSession!
03-02 00:56:58.449  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.449  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.449  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] existed
03-02 00:56:58.449  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] numOfUser[1]
03-02 00:56:58.449  1444  1808 D MDP     : [PQSession] numElements[0] key[0] metaData[0]
03-02 00:56:58.449  1444  1808 D MDP     : [PQSession] setPQParam() id[a] enable[1], scenario[1]
03-02 00:56:58.449  1444  1808 D MDP     : [PQSession] video TS [6467]
03-02 00:56:58.449  1444  1808 D PQ      : PQDSConfig::getEnableStatus check1  time 0 ms
03-02 00:56:58.449  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getEnableStatus = 1
03-02 00:56:58.449  1444  1808 D PQ      : [PQDSConfig] m_TDSHPTableInit 1
03-02 00:56:58.449  1444  1808 D PQ      : [PQDSConfig] getAshmemContext(SHP_ENABLE) = 1
03-02 00:56:58.449  1444  1808 D PQ      : PQDSConfig::getEnableStatus check2  time 0 ms
03-02 00:56:58.449  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getUREnableStatus = 1
03-02 00:56:58.449  1444  1808 D MDP     : [PQSession] setDpPqConfig m_svp = 0, enDRE = 0
03-02 00:56:58.449  1444  1808 D MDP     : setPQParam globalPQSupport = [0] globalPQSwitch = [0] globalPQStrength = [0] globalPQType = [0]
03-02 00:56:58.449  1444  1808 D MDP     : [PQSession] setPQparam userId[0x0], scenario[1], enDRE[0]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSession] setPQDREParam userId[0x0] scenario[1] enDRE[0]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.450  1444  1808 D PQ_HDR  : DpAsyncBlit: job:(2070185 173) in:(720, 1280)[720 368] C8s P1.1.1.0.1, alpha 0, sec0 flush:0 Buffer 1035092: plane=3 bufVA={0xad,0xad,0xad} bufMVA={0x0,0x0,0x0} bufSize={0xe1000,0x39800,0x39800} proxy={0xb40000747320b780,0x0,0x0}fence=-1
03-02 00:56:58.450  1444  1808 D PQ_HDR  : DpAsyncBlit: out 0:(1066, 1920)[2176 0] C5 P1.1.1.0.1 R:0 F:0 S:1 A:0 HDR:0 COLOR:0 CCORR:1 sec0 flush:0 Buffer 1035092: plane=1 bufVA={0x8c,0x0,0x0} bufMVA={0x0,0x0,0x0} bufSize={0x4db200,0x0,0x0} proxy={0xb40000747320b820,0x0,0x0}fence=197
03-02 00:56:58.450  1444  1808 D PQ_HDR  : DpAsyncBlit: crop 0:(10.0, 0.0, 710.0, 1280.0) compose:(0, 0, 1065, 1920)
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
