03-02 00:57:15.837 17121 17305 I TestRunner: started: miniPlayer_pause_button_triggers_callback(com.podcast.app.ui.MiniPlayerBarTest)
03-02 00:57:15.838  1507  1563 I SurfaceFlinger: onHandleDestroyed: layerId=155903, name=Task=44864#155903
03-02 00:57:15.838  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:57:15.838  1444  1808 D MDP     : [PQSessionManager] createPQSession(a) user(0xb4000074f4d46d80)
03-02 00:57:15.838  1444  1808 D MDP     : [PQSessionManager] Duplicated ID[a] found, please check if double createPQSession!
03-02 00:57:15.838  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:57:15.838  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:57:15.838  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] existed
03-02 00:57:15.838  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] numOfUser[1]
03-02 00:57:15.838  1444  1808 D MDP     : [PQSession] numElements[0] key[0] metaData[0]
03-02 00:57:15.838  1444  1808 D MDP     : [PQSession] setPQParam() id[a] enable[1], scenario[1]
03-02 00:57:15.838  1444  1808 D MDP     : [PQSession] video TS [12467]
03-02 00:57:15.838  1444  1808 D PQ      : PQDSConfig::getEnableStatus check1  time 0 ms
03-02 00:57:15.838  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getEnableStatus = 1
03-02 00:57:15.838  1444  1808 D PQ      : [PQDSConfig] m_TDSHPTableInit 1
03-02 00:57:15.838  1444  1808 D PQ      : [PQDSConfig] getAshmemContext(SHP_ENABLE) = 1
03-02 00:57:15.838  1444  1808 D PQ      : PQDSConfig::getEnableStatus check2  time 0 ms
03-02 00:57:15.838  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getUREnableStatus = 1
03-02 00:57:15.838  1444  1808 D MDP     : [PQSession] setDpPqConfig m_svp = 0, enDRE = 0
03-02 00:57:15.838  1444  1808 D MDP     : setPQParam globalPQSupport = [0] globalPQSwitch = [0] globalPQStrength = [0] globalPQType = [0]
03-02 00:57:15.838  1444  1808 D MDP     : [PQSession] setPQparam userId[0x0], scenario[1], enDRE[0]
03-02 00:57:15.838  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:57:15.839  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:57:15.839  1444  1808 D MDP     : [PQSession] setPQDREParam userId[0x0] scenario[1] enDRE[0]
03-02 00:57:15.839  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:57:15.839  1444  1808 D PQ_HDR  : DpAsyncBlit: job:(2070931 132) in:(720, 1280)[720 368] C8s P1.1.1.0.1, alpha 0, sec0 flush:0 Buffer 1035465: plane=3 bufVA={0x84,0x84,0x84} bufMVA={0x0,0x0,0x0} bufSize={0xe1000,0x39800,0x39800} proxy={0xb4000074f4c6a6c0,0x0,0x0}fence=-1
03-02 00:57:15.839  1444  1808 D PQ_HDR  : DpAsyncBlit: out 0:(998, 1920)[2176 0] C5 P1.1.1.0.1 R:0 F:0 S:1 A:0 HDR:0 COLOR:0 CCORR:1 sec0 flush:0 Buffer 1035465: plane=1 bufVA={0x60,0x0,0x0} bufMVA={0x0,0x0,0x0} bufSize={0x4db200,0x0,0x0} proxy={0xb40000747320b4a0,0x0,0x0}fence=138
03-02 00:57:15.839  1444  1808 D PQ_HDR  : DpAsyncBlit: crop 0:(56.0, 0.0, 664.0, 1280.0) compose:(0, 0, 997, 1920)
03-02 00:57:15.839  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
